Serum Pool,Mean,Std
Conv_Delta,1.3758838,0.06795648
Conv_WT-1,1.3042547,0.06935368
Conv_WT-2,1.5314127,0.073092684
Conv_WT-3,1.5129474,0.07535853
Vac_Mod-1,1.2003284,0.07192199
Vac_Mod-2,1.4349786,0.072580114
Vac_Pfiz-1,1.4785953,0.07318558
Vac_Pfiz-2,1.4596651,0.07559902
Vac_Pfiz-3,1.5113969,0.077783234
Boost_Mod-1,1.0572835,0.06792119
Boost_Mod-2,1.0897068,0.07120716
Boost_Mod-3,1.0499084,0.067468844
Boost_Pfiz-1,1.0104526,0.07293918
Boost_Pfiz-2,0.9916173,0.067595914
Bi-valent Boost,1.3559792,0.06758768
BTI_Delta-1,1.0603608,0.0679943
BTI_Delta-2,1.0633692,0.06802248
BTI_Delta-3,1.0544348,0.06977154
BTI_BA.1-1,1.0152504,0.068736374
BTI_BA.1-2,1.0272104,0.07078887
BTI_BA.1-3,1.142862,0.068839
BTI_BA.2.12.1,1.1884987,0.0700908
BTI_BA.4/5,1.0829872,0.06965269
